operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.37481120000001,-34.6256642,334.0,Avenida Brasil 600,Avenida Brasil ,600,36.4,U$S 650000,650000.0,23660000.0,1946.107784,70838.323353,SAN TELMO,1.0,1430,C1430EDT
VTA,TERRENO,-58.4962848,-34.549582,235.0,LUGONES 4900,LUGONES ,4900,36.4,U$S 310000,310000.0,11284000.0,1319.148936,48017.021277,SAAVEDRA,12.0,,
VTA,TERRENO,-58.487387,-34.568239299999995,188.0,Honorio Leguizamon 3700,Honorio Leguizamon ,3700,36.4,U$S 380000,380000.0,13832000.0,2021.2765960000002,73574.468085,VILLA URQUIZA,12.0,1439,C1439FRP
VTA,TERRENO,-58.4878004,-34.5678702,188.0,LEGUIZAMON 3700,LEGUIZAMON ,3700,36.4,U$S 380000,380000.0,13832000.0,2021.2765960000002,73574.468085,VILLA URQUIZA,12.0,1406,C1406FGL
VTA,TERRENO,-58.467369999999995,-34.640240000000006,176.0,F BILBAO 3200,F BILBAO ,3200,36.4,U$S 360000,360000.0,13104000.0,2045.4545449999998,74454.545455,FLORES,7.0,,
VTA,TERRENO,-58.425149100000006,-34.5991914,366.0,Estado de Palestina,Estado de Palestina,,36.4,U$S 750000,750000.0,27300000.0,2049.180328,74590.163934,ALMAGRO,5.0,1430,C1430CMH
VTA,TERRENO,-58.495013,-34.554235,216.0,Correa 4600,Correa ,4600,36.4,U$S 443000,443000.0,16125200.0,2050.9259260000003,74653.703704,SAAVEDRA,12.0,1406,C1406GSR
VTA,TERRENO,-58.46826172,-34.63335037,398.0,Juan Bautista Alberdi 2900,Juan Bautista Alberdi ,2900,36.4,U$S 830000,830000.0,30212000.0,2085.427136,75909.547739,FLORES,7.0,1416,C1416DHR
VTA,TERRENO,-58.47426,-34.617798,127.0,Galicia 2700,Galicia ,2700,36.4,U$S 265000,265000.0,9646000.0,2086.614173,75952.75590599999,VILLA SANTA RITA,11.0,1430,C1430EAL
VTA,TERRENO,-58.49720500000001,-34.550319,143.0,Miller 4800,Miller ,4800,36.4,U$S 300000,300000.0,10920000.0,2097.902098,76363.636364,SAAVEDRA,12.0,1110,C1110AAN
